Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,BTrout,Chum,Pink,LmpryNight,LmpryLPS,TempC
Bonneville,2025-05-09,Sp,4579,608,13,4,,,,26,1,,,,,,13.4
Bonneville,2025-05-10,Sp,4275,658,17,9,,,,203,,,,,,,13.3
Bonneville,2025-05-11,Sp,2958,501,22,13,,,,150,2,,,,,4,13.3
Bonneville,2025-05-12,Sp,2030,519,14,5,,,,106,,,,,,1,13.3
Bonneville,2025-05-13,Sp,1367,314,16,6,,,,110,3,,,,,1,13.3
Bonneville,2025-05-14,Sp,1562,373,7,5,,,,437,1,,,,,1,13.4
Bonneville,2025-05-15,Sp,2271,579,8,6,,,,715,2,,,,7,2,13.5
Bonneville,2025-05-16,Sp,2234,550,12,4,,,,593,,,,,2,3,13.6
Bonneville,2025-05-17,Sp,2522,664,23,7,,,,373,,,,,1,4,13.8
Bonneville,2025-05-18,Sp,2169,729,18,12,,,,115,4,,,,8,6,13.7
Bonneville,2025-05-19,Sp,2804,1030,23,8,,,,214,6,,,,8,10,13.6
Bonneville,2025-05-20,Sp,1629,451,15,7,,,,377,10,,,,17,10,13.6
Bonneville,2025-05-21,Sp,1389,401,11,4,,,,3154,18,,,,18,15,13.9
Bonneville,2025-05-22,Sp,1261,320,16,7,,,,1747,13,,,,32,24,14.1
Bonneville,2025-05-23,Sp,1125,286,28,12,,,,709,26,,,,38,25,14.3
Bonneville,2025-05-24,Sp,1292,287,14,6,,,,1107,63,,,,107,41,14.5
Bonneville,2025-05-25,Sp,1332,317,23,6,,,,2849,65,,,,98,35,14.6
Bonneville,2025-05-26,Sp,1678,385,28,12,1,,,4789,38,,,,79,50,14.8
Bonneville,2025-05-27,Sp,1216,234,26,10,2,,,6219,58,,,,100,64,15.1
Bonneville,2025-05-28,Sp,1166,247,19,5,1,,,25738,136,,,,291,86,15.3
Bonneville,2025-05-29,Sp,1113,182,17,9,,,,25950,258,,,,372,123,15.5
Bonneville,2025-05-30,Sp,1076,174,15,4,2,,,29939,132,,,,488,144,15.9
Bonneville,2025-05-31,Sp,1523,241,18,10,6,,,48405,282,,,,427,126,16
Bonneville,2025-06-01,Su,1413,227,26,10,4,,,38145,154,,,,422,148,16.1
Bonneville,2025-06-02,Su,1131,200,24,11,17,,,45645,162,,,,362,158,16.3
Bonneville,2025-06-03,Su,1172,221,35,18,24,,,57340,194,,,,389,224,16.4
Bonneville,2025-06-04,Su,1367,181,35,12,41,,,35264,238,,,,432,361,16.6
Bonneville,2025-06-05,Su,1457,211,39,17,99,,,95107,195,,,,410,393,17
Bonneville,2025-06-06,Su,2054,226,34,20,150,,,147124,334,,,,751,603,17.3
Bonneville,2025-06-07,Su,2010,196,41,26,298,,,129382,738,,,,1221,829,17.6
Bonneville,2025-06-08,Su,1838,217,32,14,481,,,153678,466,,,,999,840,18
Bonneville,2025-06-09,Su,2215,226,39,28,830,,,147510,1047,,,,2026,1090,18.2
Bonneville,2025-06-10,Su,2290,214,58,40,1047,,,145665,1540,,,,1250,878,18.4
Bonneville,2025-06-11,Su,1956,211,65,45,1620,,,162930,613,,,,720,635,18.2
Bonneville,2025-06-12,Su,1894,207,50,33,1672,,,132642,292,,,,462,400,17.9
Bonneville,2025-06-13,Su,1533,209,66,42,2015,,,93113,135,,,,369,153,17.7
Bonneville,2025-06-14,Su,1670,171,58,38,2207,,,134288,84,,,,134,173,17.6
Bonneville,2025-06-15,Su,1432,186,59,44,2329,,,132322,118,,,,655,162,17.7
Bonneville,2025-06-16,Su,1634,141,83,54,3510,,,149384,174,,,,841,121,17.9
Bonneville,2025-06-17,Su,1486,196,93,55,4667,,,158914,347,,,,1228,262,18.2
Bonneville,2025-06-18,Su,1885,276,122,61,5792,,,191048,370,,,,1052,457,18.5
Bonneville,2025-06-19,Su,1919,230,155,106,5263,,,184118,288,,,,607,540,18.5
Bonneville,2025-06-20,Su,1643,281,145,98,5885,,,95005,348,,,,721,304,18.1
Bonneville,2025-06-21,Su,1754,206,134,94,5500,,,90802,184,,,,373,183,17.8
Bonneville,2025-06-22,Su,1650,200,157,93,4399,,,92728,108,,,,396,41,17.8
Bonneville,2025-06-23,Su,1796,197,208,110,5997,,,110312,131,,,,340,37,18
Bonneville,2025-06-24,Su,1344,171,154,93,7321,,,125013,112,,,,616,137,18.4
Bonneville,2025-06-25,Su,1572,171,205,147,10603,,,94337,158,,,,962,210,18.6
Bonneville,2025-06-26,Su,1693,194,230,142,13011,,,74733,191,,,,1040,182,18.7
Bonneville,2025-06-27,Su,1438,223,310,206,8585,,,60644,119,,,,552,180,18.7
Bonneville,2025-06-28,Su,989,148,301,189,5051,,,36516,119,,,,366,232,18.7
Bonneville,2025-06-29,Su,1120,178,268,163,6770,,,34608,97,,,,511,211,18.9
Bonneville,2025-06-30,Su,1385,238,317,202,7983,,,31465,131,,,,682,310,19.3
Bonneville,2025-07-01,Su,1710,288,422,257,5413,,,36512,176,,,,728,328,19.6
Bonneville,2025-07-02,Su,1607,298,593,372,5740,,,21364,338,,,,1301,339,19.7
Bonneville,2025-07-03,Su,1237,239,585,393,4357,,,15541,376,,,,1115,263,19.8
Bonneville,2025-07-04,Su,1053,201,538,323,4627,,,13939,73,,,,479,151,19.5
Bonneville,2025-07-05,Su,906,166,560,355,5396,,,13143,152,,,,257,140,19.1
Bonneville,2025-07-06,Su,917,189,569,341,5282,,,6055,21,,,,348,126,19.1
Bonneville,2025-07-07,Su,865,144,883,560,3652,,,11767,38,,,,496,138,19.7
Bonneville,2025-07-08,Su,857,185,1328,840,2747,,,3997,285,,,,1070,289,20.1
Bonneville,2025-07-09,Su,729,133,1280,784,2312,,,4190,289,,,,1316,362,20.5
Bonneville,2025-07-10,Su,681,124,1568,877,2282,,,2631,140,,,,927,224,20.7
Bonneville,2025-07-11,Su,666,105,1500,837,1637,,,2623,270,,,,925,156,20.9
Bonneville,2025-07-12,Su,490,55,1379,724,980,,,1787,362,,,,1062,200,21.1
Bonneville,2025-07-13,Su,494,66,1320,716,1291,,,1567,114,,1,,712,244,21.2
Bonneville,2025-07-14,Su,499,94,1152,706,1041,,,1333,62,,,,675,169,21.4
Bonneville,2025-07-15,Su,453,52,1687,947,795,,,840,242,,,,636,139,21.6
Bonneville,2025-07-16,Su,447,61,2189,1204,1183,,,814,365,,,,495,135,21.7
Bonneville,2025-07-17,Su,401,60,1936,1007,870,,,4098,289,,,,446,248,21.8
Bonneville,2025-07-18,Su,343,75,1743,1004,570,,,1931,229,,,,368,199,21.7
Bonneville,2025-07-19,Su,326,46,1798,1014,525,,,476,163,,,,561,107,21.7
Bonneville,2025-07-20,Su,236,38,1832,1016,543,,,516,159,,,,427,100,21.6
Bonneville,2025-07-21,Su,269,42,2140,1218,321,,,304,103,,,,245,70,21.3
Bonneville,2025-07-22,Su,309,61,2535,1344,336,,,348,38,,,,249,77,21.2
Bonneville,2025-07-23,Su,354,86,2228,1147,262,,,424,59,,,,340,135,21.5
Bonneville,2025-07-24,Su,478,82,2763,1362,269,,,378,360,,,,511,149,21.9
Bonneville,2025-07-25,Su,536,75,4012,1972,163,,,231,216,,,,279,170,22
Bonneville,2025-07-26,Su,435,58,4230,1941,140,,,385,60,,,,373,168,21.9
Bonneville,2025-07-27,Su,424,64,4425,2030,122,,,473,142,,,,324,137,21.9
Bonneville,2025-07-28,Su,367,42,3495,1514,78,,,337,51,,,,339,142,21.9
Bonneville,2025-07-29,Su,493,73,3498,1503,62,1,,289,79,,,,195,157,22
Bonneville,2025-07-30,Su,618,109,3760,1651,69,1,,333,71,,,,217,122,22.1
Bonneville,2025-07-31,Su,505,84,3025,1244,48,1,,304,72,,,,99,134,21.9
Bonneville,2025-08-01,Fa,448,83,3177,1270,40,,,277,46,,,,135,108,21.9
Bonneville,2025-08-02,Fa,442,64,3069,1246,33,,,181,52,,,,162,95,21.9
Bonneville,2025-08-03,Fa,325,46,2826,1152,39,,1,201,97,,,,174,125,21.8
Bonneville,2025-08-04,Fa,198,45,1953,741,17,,4,159,81,,,,58,96,21.6
Bonneville,2025-08-05,Fa,210,28,2912,1047,15,2,,144,39,,,,121,98,21.5
Bonneville,2025-08-06,Fa,337,52,1972,726,7,2,3,213,32,,,,75,46,21.4
Bonneville,2025-08-07,Fa,732,124,2297,822,14,5,7,251,29,,,,-5,76,21.3
Bonneville,2025-08-08,Fa,977,195,1970,702,12,5,6,142,17,,,,76,58,21.3
Bonneville,2025-08-09,Fa,1263,218,1985,746,4,14,11,118,31,,,,61,75,21.5
Bonneville,2025-08-10,Fa,1546,227,2172,699,9,27,27,123,57,,,,102,66,21.9
Bonneville,2025-08-11,Fa,1710,309,1917,676,15,44,33,106,61,,,,249,146,22.3
Bonneville,2025-08-12,Fa,1649,308,2678,908,10,60,31,147,61,,,,168,210,22.7
Bonneville,2025-08-13,Fa,1199,235,2118,665,8,65,20,143,91,,,,191,205,22.7
Bonneville,2025-08-14,Fa,936,156,2137,662,8,53,14,113,84,,,,72,131,22.4
Bonneville,2025-08-15,Fa,526,98,1630,458,6,23,7,80,39,,,,64,57,22.3
Bonneville,2025-08-16,Fa,610,87,1389,424,4,21,11,32,51,,,,-18,50,22.2
Bonneville,2025-08-17,Fa,843,109,856,247,3,34,10,62,37,,,,54,49,22
Bonneville,2025-08-18,Fa,1553,277,831,280,4,80,13,44,33,,,,42,37,21.9
Bonneville,2025-08-19,Fa,4359,574,1101,359,2,251,93,92,52,,,,96,88,22
Bonneville,2025-08-20,Fa,4791,965,1639,512,3,215,91,49,205,,,,56,147,22
Bonneville,2025-08-21,Fa,2575,640,1777,530,7,167,68,45,17,,,,39,75,22.1
Bonneville,2025-08-22,Fa,3644,858,1681,484,4,304,100,32,29,,,,26,50,22.1
Bonneville,2025-08-23,Fa,8325,1493,1700,464,2,795,153,48,23,,,,-5,63,22.2
Bonneville,2025-08-24,Fa,11663,1958,2012,576,13,1197,166,22,23,,,,44,54,22.5
Bonneville,2025-08-25,Fa,6749,1658,2031,555,12,1105,99,25,38,,,,33,84,22.8
Bonneville,2025-08-26,Fa,2954,786,1822,483,6,633,56,14,35,,,,17,59,22.8
Bonneville,2025-08-27,Fa,3246,759,921,247,10,209,24,15,16,,,,21,40,22.9
Bonneville,2025-08-28,Fa,9328,2140,739,209,10,453,65,18,18,,,1,12,42,22.9
Bonneville,2025-08-29,Fa,17277,3717,686,206,8,1090,196,15,15,,,1,30,41,22.9
Bonneville,2025-08-30,Fa,16976,3487,607,185,6,1278,249,10,29,,,2,42,48,22.7
Bonneville,2025-08-31,Fa,19418,3388,578,148,14,1534,246,2,10,,,7,30,22,22.6
Bonneville,2025-09-01,Fa,12853,2267,529,163,15,1094,148,,12,,,,46,33,22.5
Bonneville,2025-09-02,Fa,10086,1497,640,203,9,1072,88,,9,,,2,64,69,22.6
Bonneville,2025-09-03,Fa,6726,1035,493,143,6,661,71,,10,,,1,69,70,22.6
Bonneville,2025-09-04,Fa,10722,1823,403,123,9,508,70,,22,,,,40,72,22.7
Bonneville,2025-09-05,Fa,11408,1870,385,125,8,482,70,,10,,,,31,72,22.7
Bonneville,2025-09-06,Fa,17965,1879,336,116,7,828,112,,6,,,,5,41,22.7
Bonneville,2025-09-07,Fa,22928,2904,518,183,5,4303,287,,11,,,,12,28,22.6
Bonneville,2025-09-08,Fa,17311,2664,917,271,1,4397,330,,3,,,,16,32,22.5
Bonneville,2025-09-09,Fa,15495,3573,1734,515,1,4930,432,,4,,,,-7,14,22.4
Bonneville,2025-09-10,Fa,18179,3580,2011,583,2,5568,602,,2,,,1,6,17,22.2
Bonneville,2025-09-11,Fa,12807,2669,1471,411,,3369,248,,5,,,1,18,19,22
Bonneville,2025-09-12,Fa,9627,1520,1161,302,1,2127,168,,2,,,,14,20,21.7
Bonneville,2025-09-13,Fa,13722,2186,979,287,1,2962,235,,7,,,2,15,21,21.6
Bonneville,2025-09-14,Fa,9754,1594,885,245,1,3194,188,,2,,,1,6,15,21.5
Bonneville,2025-09-15,Fa,12605,1579,943,276,1,2455,202,,2,,,,1,16,21.3
Bonneville,2025-09-16,Fa,12728,2298,1215,333,,3234,255,,,,,,5,7,21.2
Bonneville,2025-09-17,Fa,9351,1929,1267,353,1,2495,257,,3,,,1,3,10,21.1
Bonneville,2025-09-18,Fa,8296,1834,1060,279,,2297,210,,2,,,,-3,21,21.4
Bonneville,2025-09-19,Fa,7878,1068,1226,312,,2432,204,,2,,,1,12,7,21.5
Bonneville,2025-09-20,Fa,7113,1446,1140,314,1,2186,307,,2,,,1,5,14,21.4
Bonneville,2025-09-21,Fa,5387,1075,919,244,,1939,198,,1,,,1,7,5,21.3
Bonneville,2025-09-22,Fa,4952,1366,874,222,,2669,419,,1,,,,10,5,21.1
Bonneville,2025-09-23,Fa,4605,1083,865,230,,1907,275,,4,,,2,1,7,20.8
Bonneville,2025-09-24,Fa,3294,607,903,253,,1336,224,,2,,,2,6,6,20.6
Bonneville,2025-09-25,Fa,4452,754,997,280,,1377,229,,1,,,,3,1,
Bonneville,2025-09-26,Fa,5853,973,973,282,,1823,343,,1,,,,1,2,
Bonneville,2025-09-27,Fa,4318,561,877,274,,1811,273,,,,,1,2,3,
Bonneville,2025-09-28,Fa,4124,627,762,209,,2116,310,,1,,,,,1,
Bonneville,2025-09-29,Fa,2831,519,838,235,,1541,332,,,,,,,1,
Bonneville,2025-09-30,Fa,3089,859,750,219,,1530,308,,,,,,1,1,
Bonneville,2025-10-01,Fa,1518,438,537,175,,796,202,,1,,,,,,
Bonneville,2025-10-02,Fa,2359,699,827,228,,1396,293,,1,,,,,3,
Bonneville,2025-10-03,Fa,2417,474,717,218,,1713,315,,,,,,,1,
Bonneville,2025-10-04,Fa,2651,782,557,150,,5749,639,,,,,,,2,
Bonneville,2025-10-05,Fa,1506,225,330,115,,9612,835,,1,,,,,,
Bonneville,2025-10-06,Fa,884,363,178,46,,5797,650,,,,,,,,
Bonneville,2025-10-07,Fa,572,161,256,74,,4816,585,,,,,,,1,
Bonneville,2025-10-08,Fa,984,277,276,92,,4256,490,,,,,,,,
Bonneville,2025-10-09,Fa,705,159,224,69,,3457,327,,,,,,,,
Bonneville,2025-10-10,Fa,776,224,182,49,,4354,309,,,,,,,1,
Bonneville,2025-10-11,Fa,542,185,146,47,,1983,151,,,,,,,2,
Bonneville,2025-10-12,Fa,492,112,175,46,,3044,169,,,,,,,1,
Bonneville,2025-10-13,Fa,990,295,153,68,,2597,302,,,,,,,,
Bonneville,2025-10-14,Fa,1138,187,132,31,,2405,105,,,,,,,1,
Bonneville,2025-10-15,Fa,1342,204,128,32,,2443,182,,,,,,,,
Bonneville,2025-10-16,Fa,1409,195,157,55,,2589,183,,,,,,,,
Bonneville,2025-10-17,Fa,609,137,161,62,,3548,190,,,,,,,1,
Bonneville,2025-10-18,Fa,327,57,287,115,,2801,101,,,,2,,,,
Bonneville,2025-10-19,Fa,187,50,115,40,,1998,82,,,,,,,,
Bonneville,2025-10-20,Fa,230,55,76,35,,3004,96,,,,,,,,
Bonneville,2025-10-21,Fa,450,62,78,24,,1432,114,,,,,,,,
Bonneville,2025-10-22,Fa,674,104,82,37,,1681,100,,,,1,,,,
Bonneville,2025-10-23,Fa,490,52,77,26,,1172,60,,,,,,,,
Bonneville,2025-10-24,Fa,140,18,45,24,,459,27,,,,,1,,,
Bonneville,2025-10-25,Fa,303,35,52,29,,614,29,,,,1,,,,
Bonneville,2025-10-26,Fa,94,13,49,27,1,990,58,,,,2,,,,
Bonneville,2025-10-27,Fa,695,70,141,68,,1162,100,,,,2,,,,
Bonneville,2025-10-28,Fa,231,56,105,57,,1665,101,,,,21,,,,
Bonneville,2025-10-29,Fa,227,50,46,26,,1161,87,,-1,,12,,,,
Bonneville,2025-10-30,Fa,224,64,49,23,,858,59,,,,22,,,,
Bonneville,2025-10-31,Fa,244,45,29,11,,437,34,,,,16,,,,
Bonneville,2025-11-01,Fa,57,20,34,16,,514,29,,,,16,,,,
Bonneville,2025-11-02,Fa,60,17,38,16,,657,57,,1,,37,,,,
Bonneville,2025-11-03,Fa,166,37,35,23,,315,36,,,,33,,,,
Bonneville,2025-11-04,Fa,132,33,18,11,,316,38,,,,26,,,,
Bonneville,2025-11-05,Fa,58,16,34,15,,184,22,,,,18,,,,
Bonneville,2025-11-06,Fa,38,13,30,14,,107,14,,,,21,,,,
Bonneville,2025-11-07,Fa,11,1,18,9,,169,19,,,,46,,,,
Bonneville,2025-11-08,Fa,15,3,31,11,,175,10,,,,12,,,,
Bonneville,2025-11-09,Fa,6,4,26,15,,149,6,,,,24,,,,
Bonneville,2025-11-10,Fa,23,2,22,11,,93,5,,,,22,,,,
Bonneville,2025-11-11,Fa,19,1,27,19,,27,1,,,,14,,,,
Bonneville,2025-11-12,Fa,13,1,24,11,,28,1,,-1,,12,,,,
Bonneville,2025-11-13,Fa,27,5,14,7,,23,5,,,,22,,,,
Bonneville,2025-11-14,Fa,11,1,17,10,,7,1,,,,8,,,,
Bonneville,2025-11-15,Fa,9,2,16,12,,11,1,,,,13,,,,
Bonneville,2025-11-16,,6,2,8,4,,14,2,,,,15,,,,
Bonneville,2025-11-17,,1,-1,11,7,,13,3,,,,8,,,,
Bonneville,2025-11-18,,8,1,12,2,,13,,,,,10,,,,
Bonneville,2025-11-19,,-2,1,9,5,,15,,,,,4,,,,
Bonneville,2025-11-20,,4,1,9,2,,2,2,,,,5,,,,
Bonneville,2025-11-21,,2,1,6,4,,1,,,,,17,,,,
Bonneville,2025-11-22,,3,,9,2,,8,,,,,3,,,,
Bonneville,2025-11-23,,,,9,3,,2,1,,,,7,,,,
Bonneville,2025-11-24,,4,,8,5,,9,1,,,,6,,,,
Bonneville,2025-11-25,,5,,8,6,,3,1,,,,5,,,,
Bonneville,2025-11-26,,3,1,7,8,,5,,,,,10,,,,
Bonneville,2025-11-27,,2,,17,11,,4,1,,,,2,,,,
Bonneville,2025-11-28,,-1,1,12,10,,10,4,,,,4,,,,
Bonneville,2025-11-29,,2,,18,11,,12,,,,,8,,,,
Bonneville,2025-11-30,,1,,4,2,,8,,,,,2,,,,
Notes:
Columbia River DART
2025 Adult Passage Daily Counts at Bonneville
2025-01-01 to 2025-11-30
Generated 01 Dec 2025 18:45:22 PST. DART Adult Passage Daily Counts www.cbr.washington.edu/dart/query/adult_daily.
Last Date 2025-11-30. Last possible Data Date is 2025-11-30.
Data Courtesy of U.S. Army Corps of Engineers.
USACE Data Disclaimer: These data are furnished with the understanding that the U.S. Army Corps of 
Engineers makes no warranties concerning the accuracy; reliability; or suitability of this data for any particular 
purpose.
USACE Dams Video and Live Counting: From November through March; video tape fish counting occurs 
at US Army Corps of Engineers dams with fish ladders on the Columbia and Snake Rivers. Fish counting by video tape 
